浙江卫视4K,#http://101.35.240.114:88/live.php?id=浙江卫视4K
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K
深圳卫视4K,#http://101.35.240.114:88/live.php?id=深圳卫视
山东卫视4K,http://101.35.240.114:88/live.php?id=山东卫视4K
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
CCTV4K真4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
CCTV-4 欧洲,#http://8.138.7.223/tv/migu8.php?id=66e1470c453536359985b7b9b8222742
CCTV-4 美洲,#http://8.138.7.223/tv/migu8.php?id=45de6fabfc0d9dfd41de6ad5022d8fce
CCTV 4K,#http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227510/index.m3u8
CCTV 8K,#http://116.52.175.3:29999/nptv/cctv8k.m3u8
CCTV-世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV-风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV-第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV-怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV-文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV-女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV-卫生健康,http://nas.hssvm.com:8888/udp/225.1.1.210:5002
CCTV-央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV-电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CETV-1 综合教育,http://www.lizhinas.top:1009/rtp/239.252.220.198:5140
CETV-2 空中课堂,http://www.lizhinas.top:1009/rtp/239.252.219.73:5140
CETV-3 教育服务,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226722/1.m3u8
CETV-4 职业教育,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/1.m3u8
CGTN英语,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
CCTV4美洲,https://www.wmviv.com/iptv/bc2t.php?id=cctv4m
CCTV4欧洲,https://www.wmviv.com/iptv/bc2t.php?id=cctv4o
CCTV发现之旅,http://www.wmviv.com/iptv/bc2t.php?id=fxzl
CCTV老故事,http://www.wmviv.com/iptv/bc2t.php?id=lgs
CCTV中学生,http://www.wmviv.com/iptv/bc2t.php?id=zxs
东方影视,http://www.wmviv.com/iptv/bc2t.php?id=dfys
上视纪实人文,http://www.wmviv.com/iptv/bc2t.php?id=shjsrw
